,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
3299,Gpr125,-0.32212640108325646,Arl2bp,0.1968942168238922,Hist1h2ab,-0.14593609435195576,LOC100047776,-0.138370890143014,Umps,-0.1472176864130881
3300,Zyg11b,-0.32209476898223094,Coro1a,0.19687106850485733,Adamts16,0.14592397374927293,Apcdd1,0.13836435454883864,Fdps,0.14720591244082343
3301,Slc35c1,0.32209402545505345,Rapsn,-0.19685538343918454,Ninj1,0.14590238718807333,Uros,0.13834330679185008,"Ccdc62,Denr",0.14716738549315034
3302,Slc39a8,-0.3219760420444999,Grk6,0.19684513863820433,Epha8,-0.1458905270317986,Rnf41,-0.1383212478648357,Scamp2,0.1471523509880248
3303,Gnb2l1,0.321949645653978,Ptdss2,-0.1966734566227252,Il11ra1,0.14587465920089365,Ehbp1,-0.13828962805471706,Myg1,-0.14714298580270704
3304,Sin3b,-0.32188729516092285,Coprs,-0.19665469616094344,Zfp207,0.14584734400088667,LOC100045228,0.13826265963585838,Sep15,0.14714180322813386
3305,Ier2,0.3218846701270002,Dhx32,0.1965401234891147,Hba-x,-0.14581706607393907,BC057371,0.13825849992577904,Jakmip3,0.14713744044974625
3306,Zbtb8a,-0.32187907287766687,Grcc10,-0.1965105437016307,Tmem60,0.1458118718463005,Suhw4,0.13825208950656087,Ttll8,0.1471293450227797
3307,Vgll4,-0.3218130286435869,Pole4,-0.19650000120501732,Crry,0.1457816418049299,Gfm1,0.13818728209868655,Fahd2a,-0.14712485232625272
3308,Med8,0.3217620467593298,Commd5,-0.19643689330525807,Degs1,0.14576411816113857,V1rc22,-0.13809807238365768,Mcf2,-0.14710858493118703
3309,Mecr,-0.3217212133248698,Ifnar1,-0.19635057982890133,Aatk,0.1457340096577887,Taf1b,0.138096236992035,Pitx3,0.14708441175306225
3310,Polr2f,-0.3215983332077673,Rps29,-0.19634461256548824,Man1c1,0.1457267382341109,Olfr810,0.13808497713060186,A730011C13Rik,-0.14708100816367253
3311,Metap2,-0.3215850725115362,Degs1,-0.19632944222511958,Lrrc52,-0.1457254677171183,Fem1b,0.13806495244208739,Zbtb44,-0.1470796679514407
3312,Meox2,-0.3215306309791636,Mov10l1,-0.19627741825800538,Nkx2-3,-0.1456663891750534,Pum1,0.13804097596296983,"4930546H06Rik,Mir99b",-0.14705382749884188
3313,Kifc2,-0.32152772914429245,Ncln,-0.19620127711679375,Tapbpl,-0.14565524473290645,Mrpl32,0.1380322900305729,Degs1,0.14702260438334996
3314,Rad23b,0.3213137765824321,Pi15,-0.1961893556784724,Ube2l3,-0.1456309689314018,Pla2g3,-0.1380310375112663,Lman2l,-0.14701512332722008
3315,Lsm14b,-0.3212502349608492,Psg19,-0.19617999221697574,Six5,-0.14561738130533144,Ypel3,-0.13801271053830497,Arhgef4,0.14699746429725702
3316,Vma21,0.3212273419821511,Rpia,0.1961657892225978,Crabp2,0.14559297442089172,Eif4a3,0.13798551383200344,Adcyap1r1,-0.1469824263336712
3317,Arfgap3,0.32118624683819585,Arhgef10,0.19614141300341004,Olfr281,-0.14557405253885564,Tmem14a,0.137984475378882,Ftsj2,-0.14697797097824677
3318,Sgk1,0.32107264416257597,Desi2,0.19611131099304882,Rhebl1,-0.1455022094043312,Casp6,0.13794983146628292,"Gm3294,Mir129-1",0.14696946486908508
3319,Gatad2a,0.32101414853570415,Foxj2,-0.1960634855342344,Olfr1243,-0.14546264391142882,Gm249,0.13794850393626806,Rgs14,0.14690123253369478
3320,Tmem184c,-0.32097843254341113,Zxdc,-0.1959925735639719,Pts,-0.14544085221940034,Olfr477,-0.1379157469074064,Rttn,0.1468774339916894
3321,Tcf15,-0.3208847511660845,1700021F05Rik,-0.19598336699744637,Ifi202b,0.14543802200085787,Tmem166,0.1379119700784261,Cacng3,-0.14683579848560574
3322,Trdn,0.3207392937998716,Adam9,0.19595458009989225,Hmgb1,0.1454320260976134,Ell3,0.1379070099215897,Marveld3,-0.14683046838396274
3323,Tnrc6b,-0.3205882572477197,Pqlc3,0.19594566631610305,Tnni3k,-0.14542385043781625,Gm813,0.1378763905289406,Gm10069,-0.14681865155490428
3324,Il1b,0.32057029649862523,Dgcr2,-0.19593729556235354,Fam131a,-0.1454158988408106,Igfbpl1,0.13787210100047942,Sgk1,0.14681676948381164
3325,Zfp30,-0.3205416491231741,Magi2,-0.19590652050523097,Txk,0.14539589188516366,Folr4,-0.1378655804929931,Aim1,-0.14675361632322298
3326,Dxo,-0.32053563373470906,Myo18a,-0.19581358383933292,Ano6,0.14537923228166208,Uchl1,-0.13786510776062838,"Gpr156,Lrrc58",0.14674657506127559
3327,Bambi,-0.3205229860019615,Arhgap20,-0.19580774140040913,Kcna1,-0.14537455022153517,Mfsd7c,0.13782742387374575,Dguok,-0.1467459887205492
3328,Ndufab1,-0.3204816429274735,Ccl7,0.19579081347075242,Traf2,-0.14533290017031433,Tcf7l2,-0.1378077881040079,Gm26823,-0.14674192488398088
3329,Chchd3,-0.3203930657588727,Grm1,-0.1957849206414834,Ttc22,0.14529792871377964,Pmch,0.13779170235210864,Ccdc88c,-0.1467379843120755
3330,Ick,-0.32038204637882534,Plcz1,-0.19575856294817678,Gpr158,0.14529108128188203,Cdk7,-0.13776071112083,Exosc10,-0.14672848591123025
3331,Kras,0.32036706562691936,F8,0.19568397901116524,OTTMUSG00000008911,-0.14524543160887063,Sec24c,0.13775944616663913,Nr1h2,0.14672545971199513
3332,Timp2,0.3202897756703465,Macrod2,0.1956651195711067,Tnfrsf19l,0.1452452722500071,Adh4,0.1377105329428679,Rangap1,-0.14672329493354574
3333,Cnot6,0.32010528418136125,Ms4a4d,0.1956613352315585,Xpo5,-0.14520630891753855,D10Ertd322e,0.13770581122445955,Hlcs,0.14671100269437953
3334,Asf1a,-0.3200149433529623,1600029D21Rik,-0.1956588414064459,Ranbp10,-0.14517957961883757,Lair1,-0.1376929108790455,Nsmf,0.14668784407955904
3335,Xab2,-0.3199732750553082,Hexa,0.19553424135547318,1700019D03Rik,0.14514344597134882,Hnrpm,0.13764281952854177,Fbxo42,-0.14667782256318543
3336,Slc9b1,-0.3198360973026355,Commd1,0.1954332890477523,Serpinb7,0.1451204212761559,Msi1,-0.13755757858691356,Dpysl4,0.14666416720052486
3337,Gpr56,-0.3198077160573711,Dtl,0.19543260805856408,Pfn1,0.14511849942203206,LOC669251,0.13754310078001808,Phactr4,-0.14666405472571553
3338,Slc38a1,0.3198040700597959,Adcy2,-0.19538320203208975,Orm1,0.1451139844549263,Ighmbp2,-0.13752550669050823,Fam160b1,0.14662580932286184
3339,Tor3a,0.3197829625569686,Slc6a6,-0.19531794159561008,Olfr389,-0.14510415000870067,Pcdhb22,0.13750698973067357,Pias3,0.14660198000694327
3340,Mt2,0.3195939239440965,Tpd52l1,0.19530350701076513,Zc4h2,0.14509386146288308,1100001H23Rik,0.13749653077628984,Alyref2,0.14658447140002226
3341,Lrrk1,0.3195405237389516,Thap7,-0.19528067763268964,Ctse,0.14508528695942072,BC005537,-0.13749524969046142,Bola3,0.14656360168050783
3342,Pomp,0.3192239241513419,Dnmt1,0.19525502076962192,2810470D21Rik,-0.14505647812412029,Cct6a,0.13747664686415156,Bcap31,-0.14654799182844885
3343,Arhgap20,-0.3190960819543356,Pf4,0.19513638108426,Procr,0.14502342656160785,Klra7,0.13747452144090125,Gls,0.14652354785652125
3344,Atpif1,0.3188622997885481,Fam98a,0.1951010336327874,Gpbar1,-0.14499993117504706,1700027N10Rik,-0.13746944213740914,Arpp19,-0.14647508050836777
3345,Fkbp9,-0.31876400310549796,Ltb4r1,-0.19507773934574368,LOC100044566,-0.14496407209117207,Atp6v1g1,-0.13737252653995619,"Lrp1b,uc_338",-0.14646873131077798
3346,Hs2st1,-0.31874225614502866,Nrgn,-0.195043992657819,Cage1,-0.14489036026046026,Lhx2,-0.13735676925540505,Il10rb,0.1464389211159772
3347,Tmed3,0.3187306458568263,Trpm7,-0.19502314263054787,Fhl4,0.1448329499289189,Rps19bp1,0.1373305315304652,Bex1,-0.14642852834716558
3348,Mrpl49,-0.3186905441738116,Chrna7,-0.19494823829323393,Rrm1,0.14482635706740019,Myo1a,-0.13731636301501168,Dnttip1,0.14642810888145447
3349,Mfsd7c,-0.3186755165165608,Phox2a,-0.19494486369470976,Olfr1500,-0.1448058616998705,Fbxo7,0.13729456641357876,Wbp5,-0.1464030087553998
3350,Ltbp4,-0.3186436563824307,Mllt3,0.1949355665003265,Supt3h,-0.14476370790561893,Th1l,0.13729299812171764,Arl6ip6,0.14640176758186774
3351,Serpine1,0.31836861377746767,Rbks,-0.19489793023461746,Wtap,0.14474713756640875,Card10,-0.13727796391672537,Col9a3,0.14640122259647806
3352,Fhdc1,0.31836189762374345,Ginm1,0.19486326408379967,Adam24,-0.14473733931616375,Rpl17,-0.13726456390155395,Npc2,-0.14639018968077203
3353,Ntan1,-0.31833238713126605,Lemd2,-0.19483680242291182,Cts7,-0.14473586590121335,Sp3,0.13724975785863255,"4932702P03Rik,D130043K22Rik",-0.14636836856883131
3354,Maged2,0.31829222609714514,App,0.1948165063950161,St8sia1,-0.14473191679705175,Hpcal1,-0.1372402052375468,"Gipc1,Ptger1",0.14628827410970513
3355,Gtf2b,0.31826101931444895,Ccdc132,0.1948135319497372,Gmpr2,0.14472283703653288,LOC100046049,0.13723067982968057,Hecw1,-0.14628534164837947
3356,Nap1l1,-0.318183623496802,4921524J17Rik,-0.1948106498289369,B430306N03Rik,0.14469230149016254,Cd2ap,0.13722517232317477,Mettl17,0.14610153695682912
3357,1110038F14Rik,-0.31801309989731325,Iffo1,-0.19477077641163762,Olfr835,0.14465525053952658,Olfr1037,-0.13721824702454338,Gm23882,0.14608630441222462
3358,Pabpn1,-0.31800472851146516,Grina,0.19472280591778296,Gpm6b,-0.14465079900289746,Lce3f,0.13720418816050498,Tspo,0.14608087703362296
3359,Ints12,0.31796288863359506,Myo1c,0.19468737153899138,Afg3l2,0.144632837814717,Olfr918,0.13712216746781097,Gins2,0.14605606919476477
3360,Csf1,0.3179176813117332,Rps19,-0.19464490612242294,Pcca,-0.144615691135994,Dnajc30,-0.13710134285306533,Plag1,-0.14603965730958238
3361,Lrrfip2,0.31785315848751305,Vma21,0.19462740716825963,Klhdc4,-0.14459667313792823,Crxos1,-0.13709698384459568,Gm26759,-0.14601911133742343
3362,Bace1,0.3178163960275268,Sox2,-0.1945943764203016,LOC100046741,-0.14459414200361126,Hoxa13,0.1370572924079573,Rpl27a,0.14599988929606086
3363,Slc41a3,0.3177895274961043,Fgf17,-0.1945895781850468,Plekhm1,-0.14457359235464637,Olfr599,-0.13703794189542956,Plek,0.1459967461193283
3364,Suv420h1,-0.3176964355845147,Actr1a,0.19449183957845434,Tlr6,0.14456902713959863,Fbxl4,-0.13703428568847806,Ptpn6,0.1459956578496236
3365,Il1r2,0.3176820734804051,Rnase1,-0.19446850244498215,Hdac7,0.14455666031062717,Gats,0.13702824238488576,Cd97,0.14593441097359464
3366,Pdlim2,0.3176375914220025,Gabra6,-0.1944018322842934,Sema3b,-0.14454101751837675,8430432M10Rik,0.13702803410053088,"Snhg7,Snora17,Snora43",0.1459287786809852
3367,Dnm3os,0.3174095092055788,Gpx6,-0.1943171624315685,Gck,0.1445392362807895,Dhx15,0.1369646175322762,Recql5,-0.14592312901814675
3368,Cd74,0.3174012030519732,Fopnl,0.194172037713987,Zfp354a,-0.14452429198584582,Hsd17b6,-0.13694573590568795,Fam26e,0.14591112269570655
3369,Tnip2,0.3171905976861451,Zbtb25,-0.1941042416529907,Tmem132c,-0.1445139254657521,Catsper2,0.13694530485213566,Dalrd3,-0.14586281227591824
3370,Capn9,0.3171615142142871,Gnas,0.19409880366235677,Tmcc3,-0.14449557356698917,Plch2,0.1369396197536575,Edil3,-0.14585138330007105
3371,Rfxank,-0.31716097445448643,BC005561,-0.19409130258262286,Chrna6,-0.14449509713815206,Stambp,-0.13691559433036113,Grin2a,0.14582028469042732
3372,Arid3a,0.31703509653642237,Ahi1,-0.19408211118805646,Rangap1,-0.14448881296310306,Apof,-0.13689596807659402,Pcdhb11,0.1457719492544412
3373,Snrpd1,0.3169961797295406,Cxcl9,0.19395294383317987,Dpp3,-0.14446048002310527,Foxb1,0.1368819547586696,C330002G04Rik,-0.145755334785899
3374,Stt3a,0.31692656178171363,Gbp3,0.19392742105520638,Gm732,-0.14444774412915212,Exosc3,-0.1368749257459975,Ap5b1,0.14574865374762916
3375,Dpp8,-0.3168962827156687,Syt9,-0.19391667861961145,Cpb2,0.1444054882183028,Olfr1361,-0.13687149460766346,"Arfip1,Fam160a1,Glt28d2",-0.14573133391503273
3376,Mrps18a,-0.3168115553049929,Krba1,-0.19390601911391095,Ptk9,0.14438988397660468,Gsg1,0.13683806706049823,Pccb,0.14566078453357284
3377,Slc30a4,-0.31675218700460406,Crkl,-0.19389082054577417,Pbx1,0.14436544827849765,Ddx24,0.13682307157870063,"Snhg12,Snora61",-0.14565846647236774
3378,Spag7,-0.31672515243457894,Dtnbp1,0.1938696378483477,Ccl7,0.14433948771272687,Pja1,0.13682048578661635,Arap1,0.14564746907850082
3379,Napa,0.31661916228861475,Fahd1,-0.1938180464050729,Fbxl12,-0.144327891288961,4930430E16Rik,-0.13680431027967963,Ccdc181,-0.14561454095679507
3380,Slc50a1,-0.31650288878688215,Fbxo15,-0.1937312194725403,Hrh4,-0.14432583003192845,Ryr1,-0.1367973988361199,Fam89b,0.14559742134351827
3381,Fam98a,0.3164593970931693,Tor1a,0.19370099873370625,Olfr1044,-0.14431457559680433,Tnfrsf12a,0.13678681163999426,Lancl2,0.14550807545804792
3382,Vcan,0.3163855926172154,Maea,0.19366848972108128,Fmo4,-0.14430969938130167,Zgpat,0.13678015241933442,Ccdc127,-0.14548245406279256
3383,Zfand5,0.3161593499556497,Abcb8,0.1936219749655152,9830002I17Rik,0.14429275646276513,Nek10,-0.13677572948093047,"Baz1a,Gm20403",-0.14547718622056613
3384,Fis1,0.31615221626428436,Snf8,0.19359737907261543,Dsg4,-0.14426245462868334,Zcchc10,-0.1367701046371614,Nbr1,0.14546793870236518
3385,Scn2a1,-0.3161438250429645,Lyzl4,-0.19358106266814443,1810014F10Rik,-0.14425152054184337,LOC100044160,-0.136769647817359,Rasgrp2,0.14544696562515122
3386,Tle6,0.3160410384603301,Arntl,-0.19355314113016106,Klk1b24,0.14422700274179098,Chst12,-0.13675134784048248,3110002H16Rik,0.14544484874695768
3387,Murc,-0.31603273894308404,Slc25a47,0.19353611317612932,Pax2,0.14421785847966215,Rad54l,0.13673789916358006,B930095G15Rik,-0.14543473177379979
3388,Srm,0.31602760163440874,Ankrd54,-0.19353138746338577,Cdc23,-0.14421271514383302,Ear11,-0.13673461405597165,Cyp4x1,-0.1454204072281037
3389,Dnttip2,-0.3160015659615566,Isyna1,0.1934188633102889,Trp73,0.14413003803358101,Pcdhb21,-0.13673207980707203,Zfp784,0.14541928463072573
3390,Lace1,-0.3159694726619286,Dysf,-0.19319445396256665,Skil,0.1440899025382412,Morn2,-0.13671547139524776,Gramd4,0.1453937752130707
3391,Kti12,0.31587210951730493,Isg20,0.19318720262095437,Baat,-0.1440814687758894,Cabp4,0.13669921549767083,"Ifi47,Olfr56",0.14536489565123656
3392,Ddo,-0.315863375014875,Ddx21,-0.193175831425222,Dnajc30,-0.14406540519873984,Armet,-0.13662862256005553,Fbxo25,-0.145363968736543
3393,Calr,0.3158412251268175,Psmd10,0.19317284057978173,Zfp810,-0.14403247514199227,C1qtnf1,-0.1366256827177581,Gbp5,0.14535997894425104
3394,Ankfy1,0.31576342477266955,Prickle1,-0.1931705407569253,Twf2,-0.1439977678226799,Eif3b,0.1365214915888818,Asic4,-0.14535448863986775
3395,Rasl11b,-0.31570420503305485,Gtpbp4,-0.19313008636592013,Prr19,0.143987533465439,Zfpl1,0.13649734443383513,Lrrc8b,-0.1453329311220407
3396,Set,0.3156457382910882,Zfp869,-0.1931170190251406,Olfr689,-0.1439775194522442,Ppp1cb,-0.13649192211695327,Socs5,-0.1453290156639314
3397,Srp68,-0.3156439485922911,Tst,-0.1930863531553178,Atp6v0e2,0.1439771156656683,Rsbn1,-0.1364868729676558,Hrh2,0.14531732196847527
3398,Oxct1,-0.315642620229775,Fam45a,0.19297084238923076,Tcf21,-0.14397199249701986,Abhd5,0.1364408012825957,Usp27x,-0.1453105033596853
3399,Tcf7l2,-0.3156138912004636,Ube2e1,-0.19295433397263478,Scyl1bp1,-0.14396252398295473,Abca3,-0.13643184067414046,Ifih1,0.1453038303281834
3400,Gfra3,-0.3155631007228163,Rb1cc1,-0.19295288370807712,Lpgat1,0.1439252493888377,V1rd3,0.13642650171671356,Ssh2,0.14529263829007513
3401,Tyk2,0.3154861283806135,Ebf2,-0.19292901992823488,Aph1a,-0.14392325217969695,Sit1,0.13641494898515752,"Rnf170,Thap1",-0.14527577030531902
3402,AW209491,-0.3154769007617799,Dap,0.19289405305620916,Lrp1,0.14391762467661523,EG545056,0.13638606707590795,Cd274,0.1452508110903652
3403,Phxr1,0.3154092475845661,Wipf1,0.19287157806765584,Caln1,-0.14387749276460793,Mphosph6,0.1363839992484375,Atxn10,-0.14518674734336612
3404,Med27,-0.31538558690814494,Spg21,0.19286405181637106,Stx1a,0.14385317545754833,Arl11,0.13638120722613542,Snrpd3,-0.1451674122658207
3405,BC026585,-0.31537674835351476,2010204K13Rik,-0.1928479825370756,Ceacam2,-0.14385068817438765,Lrrc8b,0.13637411376311237,D430041D05Rik,0.14514653484979684
3406,Cryzl1,-0.3153734389584168,Zfp574,-0.1928201223838852,Rbks,-0.14382483798713344,Cep78,0.13634418481933985,Fads1,-0.14512487197277738
3407,Eya3,0.3153409906171183,Ier3,0.19279803119702804,U46068,-0.1438143890790569,Olfr462,0.13633636305867872,Zfp346,0.14511901897457405
3408,Apoa1bp,-0.3152326796013883,Atp1b3,0.1927965563398547,Lrrc24,-0.1438113030816062,LOC100044692,-0.13631521811638495,Ccdc130,0.14507716791363046
3409,Slc13a3,0.315215683069787,Cers2,0.19276320984073173,Las1l,-0.14377188166039012,Irf2,-0.1363043788876758,4933434E20Rik,-0.14507128085742665
3410,Zfyve19,-0.31518252869415436,Lmbr1,-0.1927607354217208,Dusp14,0.143741730594429,Gm1698,0.13629348778412403,"Slc25a34,Tmem82",-0.14506341498449388
3411,Podxl,-0.31514676045103623,Cntfr,-0.19274583758416866,Cdyl2,-0.1437233078368929,Pnpla1,-0.13628887284467528,Bsx,0.14503959755692003
3412,Mcts2,-0.3151209768649463,Lrrc18,-0.19274333917518657,Fbxl21,-0.1437174741562275,Lepr,0.13627413179758197,Tmppe,-0.14502509261820676
3413,Mtmr10,0.31510458217501724,Foxd1,-0.19266425017749664,Fxyd3,0.14371473770291582,Mro,-0.13626413055953393,Slc25a34,-0.1450124669118238
3414,Inadl,-0.3150374264617035,Il1r1,-0.19255416068404657,Olfr103,-0.14370799418168348,Mrpl3,0.13623960523584075,"Cmtr1,RNF8,RP24-271E12.4,Rnf8,Tbc1d22b",0.14498714688420694
3415,Pfdn5,-0.3150268528880642,Prr13,0.1925302415850127,Igsf3,-0.1436957012352408,Acadl,0.13623175488822398,Nek11,0.14498286672114877
3416,Tmem5,-0.31500602127032445,Lsr,-0.19252035963493824,Muc5ac,0.14368804475153976,4930544G21Rik,-0.13622372054236676,Pex14,0.14497377380466733
3417,Hk2,-0.31496508157046066,Ehd2,0.19243726399012953,Adamts20,0.14367150953427338,Trim36,-0.13619387374030587,Zhx1,-0.14497228857167566
3418,Popdc2,-0.3149531140174153,Cops8,0.19239552243792796,Smg6,0.1436697820049523,Glp1r,0.13615861762717466,Cnnm3,0.14490003228656195
3419,Arf2,0.3148932921503999,Doc2b,-0.19239341502852475,LOC639910,-0.1436444481776941,Gimap7,0.13613134035098692,Gm15612,0.1448943431987522
3420,Pex12,-0.31470960701882744,Lmcd1,0.19235053139975733,Msx3,0.14363049886307983,Sprr2g,0.13612567398237374,"Cryga,D630023F18Rik",0.14488296288490654
3421,Fundc2,-0.3146717900062524,Kank2,-0.19215327972776533,6330406I15Rik,0.14362582645428146,Ap3m2,0.13612169569335272,Lpxn,0.14488067353612322
3422,Clcn4.2,0.31462675514549804,Ptprn2,-0.19208433325988666,Cdc2a,0.1435758134435599,Speer3,-0.136111212830776,Spice1,-0.14486178893286047
3423,Chuk,-0.3145635607111237,Ostc,0.19207425631903155,Lsm2,-0.14352781992627453,Slc37a4,-0.13610824677068542,Tspan6,-0.14481664812807055
3424,Laptm4b,-0.31446016841654695,Slc22a4,-0.19207015856165624,LOC100040592,0.14345724862423848,Mrpl21,-0.13610264346912196,Snrpf,-0.14474169272345483
3425,Sec14l1,0.3144588963044298,Arf2,0.1920635205421676,Lias,-0.1434412988295646,Ciz1,-0.13609951932696177,Pdcd10,-0.14473570738463626
3426,Snap23,0.3144053339753935,Fas,0.19204705190376287,EG546347,0.1434097802152478,Gsdmc1,0.13609848962566737,"Olfr1507,Olfr1508",0.14468492428617422
3427,Naglu,0.31439495113867433,Mt3,-0.19202050689444267,Plek,0.14338954936503434,Ywhae,-0.13608855903731232,9530052E02Rik,0.144672582558198
3428,Itga4,0.314394030745686,Pip4k2c,0.19197939069098816,OTTMUSG00000016703,-0.1433462148352002,Rnf4,0.13608173934442283,PYURF,-0.14465649207552062
3429,Nsg1,-0.3143540464110534,Nmt2,0.1919765477444387,LOC626152,0.1433149319119166,Lrpprc,0.13607714902415666,Ccnl2,0.1446346034084893
3430,Cyp4f16,0.31425751490024967,Rnf128,-0.1919532075337616,Creld1,-0.14328424773579135,Gpr68,0.13606688142862836,"Capn5,Omp",-0.14462771462437823
3431,Rgs16,0.3142306586715399,Phf1,-0.19193488710040552,Rln1,-0.14326952771539594,Cntn1,-0.13604924069777852,Uaca,0.14462233848660708
3432,Nop9,0.31418584553404716,Cd274,0.19190840471498596,Bcas1,0.14326743333408534,Tnrc6a,-0.13604052296863675,Gata2,0.14461166696258312
3433,Fn3k,-0.3141333716429152,Rcc2,0.19185129470441148,Magmas,-0.143261045619369,EG194588,-0.1360401954463963,Vgll4,0.14460023302904426
3434,Dos,-0.31409581811707243,Tgfbi,0.1918448504725628,AI747448,0.14325967991342947,LOC100044565,0.13603477064412756,Ky,-0.14458943747065872
3435,Rac3,0.3140667594015106,Dnajb6,-0.19183952441198854,Tmprss7,-0.14325200530697035,Dem1,0.13602961079616271,Cpsf3l,0.1445539434704999
3436,Lyst,0.31405920844432106,Zfp740,-0.19178376708445652,LOC100046264,-0.14323867203534843,2410004L22Rik,0.13601357565778868,AI606473,-0.14453062753728646
3437,Mis18a,0.31396230084972987,Recql5,-0.19171435799821662,Pgk2,0.14320411646752187,Tmem140,-0.1360103691626589,Gria2,-0.1445294953515223
3438,Ash1l,-0.31392185558905394,Cog6,0.19166079163646652,Klf6,0.1431939116822248,Olfr149,0.13600587015887194,Gm12426,0.14451991209682336
3439,Hars2,-0.31391145516205354,Ngdn,-0.19164979122610204,Prok2,0.14319012213359622,Ccdc130,-0.13600119978549996,Lmo4,0.14447182111562482
3440,Rnf123,-0.31386401215916304,Il34,-0.1915566171609801,Bcl7a,0.1431848143518479,Scyl1,0.13596714897360848,Zfp317,-0.1443823674756267
3441,Hip1r,-0.3138042221921907,Pkn1,-0.1915493690525969,Lgmn,0.14316776018938696,BC032265,0.13595512228912227,Serpinb1b,0.14437422472350284
3442,Pou2f2,0.31372729912774716,Dhcr24,0.191536980837835,Fga,0.14315621262445472,A030005L19Rik,0.13590116551364834,Flrt3,-0.14437404186798336
3443,Afp,0.3136850227250511,Tomm40l,0.19153242844509874,LOC100047151,0.1431398642165587,Rph3a,-0.13588800051480115,Stmnd1,-0.14432175521748092
3444,Zc2hc1c,-0.3136816802580341,Trappc1,0.19147422559225555,Vsig2,-0.14309653615324094,Igfbp4,-0.13583087585154913,Mettl7a1,0.14429872652669357
3445,Meg3,0.31352419836410367,Tmem121,-0.19146969943759345,2310010B21Rik,-0.14308568534001545,Olfr1243,-0.13581931237898562,Fam81a,-0.14429016788138505
3446,Cars,0.31348648960666,Atg14,-0.1914672223232592,Plcb4,-0.1430342922140814,H2-M10.4,0.135815626982416,Tmem86b,0.14427259013801405
3447,Adamts4,0.31347157125962666,Prrx2,0.19140157248533987,Phyh,-0.1430303264285326,Fmo2,0.1357952081280967,"Rpl8,Zfp7",0.1442720374016835
3448,Git1,0.31342384266066736,Dr1,0.1913795149973225,9130011J15Rik,-0.14300690037319888,Sphk1,-0.1357875058518976,Cnn2,0.1442700889601133
3449,Nif3l1,0.31342223505998495,Arf6,0.19134870447125457,EG330403,-0.14298416557799493,Nrbp1,-0.1357650922517179,Gm13031,0.14426887555808576
3450,Gpx3,-0.31341801474463105,Mettl7a1,-0.19134107338031026,Olfr1018,-0.1429795859787512,Olfr1156,-0.135760219067038,Ccdc135,0.14425344026635015
3451,Zfp410,-0.31340168999807483,Smarcd3,-0.19133027485573836,Higd1c,-0.1429700566111432,Tbc1d25,0.1357530895407999,Mblac2,-0.1442415674044848
3452,Hmg20a,-0.3133853708018814,Rbm14,-0.1913042827412246,Svs4,0.14295147391000967,Pip5k3,0.13573184207476202,Gm17102,-0.14423822320728427
3453,Pola2,-0.3133829514315665,Rai1,-0.19128255320948725,Parp2,-0.14294826803118102,1700067K01Rik,0.13571873571781815,Gm9752,-0.14423105545226222
3454,Usp8,0.3133260165324426,Slco5a1,-0.19120525253139686,Cdc42se1,0.14284773029958917,Bai2,-0.13569258064812012,Zswim3,0.14422432454865894
3455,Cpne3,-0.3133202102957592,Sel1l,0.19118808789591168,Tarbp2,-0.14284027032712404,Pcdha7,0.13567854459867756,Tbc1d22b,0.14419831813265485
3456,Pmaip1,0.31323144593943786,Cct4,-0.19107361609099788,LOC100047113,0.14281970883713324,Tmem159,-0.13567760112793686,Scn5a,-0.1441965575887171
3457,Snx1,0.3132202942204868,Adck3,-0.19106639950263102,3110070M22Rik,-0.14281222781199115,P2ry12,0.13563584498420406,Prpf19,-0.14418015917318744
3458,Acadvl,-0.3131651790651602,Tbcc,-0.19105995893406164,Cst13,0.14278066840240594,5033413D22Rik,0.13559853410064177,2700060E02Rik,-0.14416750567516148
3459,Trpc4,0.3131404704790526,Clns1a,-0.1908814853200871,4732471D19Rik,-0.14274103847623473,Mdh1b,-0.13559573341953354,Mtmr1,0.14416414302807165
3460,Parva,-0.31313984473865286,Mmp3,-0.19087641509440303,Olfr577,-0.1427407588851994,Snrpe,0.13557150387579356,Slc1a5,0.14415876451433254
3461,Zbtb22,0.3130868721730353,Il3ra,0.19085575907928384,Adfp,0.14273926285319388,Atp6v0e,-0.1355425849196027,Miip,-0.1441489186701487
3462,Il13,0.31307642430014915,Gjd2,-0.19075243566959013,Pitpnm3,-0.14271082233027466,Nkx2-5,-0.13553408624791702,Tspan3,0.14410538551064953
3463,Ttc4,-0.3130157485267257,Col7a1,-0.19070447596778828,Twsg1,0.14270384479461937,Fstl4,-0.13552861638748107,Zfp646,0.14409975586509727
3464,Mib2,-0.31294313035900867,Gpr143,-0.19063373471068393,Slc27a4,-0.14265485516739432,Znrf2,-0.1355062422976689,Jarid2,0.14408609887679427
3465,Angptl1,0.31283542279638615,Hspe1,-0.1905989040311531,6720456H20Rik,-0.1426470801943795,Cldn2,0.13549553542636372,Trmt12,-0.1440767148156717
3466,Lpin1,-0.3127003807243757,Aamdc,0.1905199723114264,Cox6b2,-0.14264307711766266,Egr1,-0.13548007172841195,Ppard,0.1440336500397077
