,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
38,Ccr5,0.6051326931629876,Entpd5,0.5489187933917538,Hk3,0.35749059369588443,Cdc20,0.3162721421725967,Nfil3,-0.3452732906120813
39,Nthl1,-0.6051288167589941,Sart1,-0.5485668536491238,Hp,0.35614844064374795,Abcg5,-0.3160973577809188,Eogt,0.3449808765131475
40,Kpna2,0.6039897909511156,Agxt,-0.5448628854789501,D030051N19Rik,-0.3554279546909473,Mrps28,0.31494843305773795,Ovol1,0.3440963766030457
41,Tmem134,-0.601701136022683,Maf1,-0.5376415860698096,B4galt1,-0.35507393112099056,9630025I21Rik,0.3143994252608202,"Trip4,n-R5s85",0.34077100985861475
42,Nipa2,0.6016692720096546,Smarca4,0.5373468859591648,Pxmp2,-0.3547239025249082,Nfasc,0.31403574174972543,Ccdc122,0.34060226980124636
43,Fbxo45,-0.6012865794862415,Slc13a3,0.5358931538503048,Anxa2,0.35438339326048496,Rrm2,0.3127981129596714,C130071C03Rik,0.3402398576457788
44,Nap1l3,-0.6010940495627939,Pls1,0.5341252455714789,Lgals3,0.3541609067372559,Nudc,0.31202077917721194,Rab3c,-0.33894000968796534
45,Acadsb,-0.6008858680247655,Ivd,-0.5340332369570517,Stk4,0.35203440336841785,Psmc3ip,0.3119755592836572,Ankrd27,0.33870946041408867
46,Mst1r,-0.5990783046316447,Fam134b,-0.5334832942703907,Tmem134,-0.3502008605141943,Nedd4l,-0.31131261347693795,Trafd1,0.3382488378456787
47,Slc7a7,0.5989580340289805,Ermp1,0.5332118590464786,Rgs1,0.35008886862523175,Pmaip1,-0.3096518509464225,Kdm2b,-0.3375777075562502
48,Jup,-0.5976312559311323,Proc,-0.5325087614983927,Tmem123,0.3494777145528795,Nmb,-0.3091833482957821,A530054K11Rik,0.3366463705498146
49,Chmp6,0.5974285513929665,Aurka,0.5321934394400235,Sdcbp,0.3484104193203056,Fbxo32,-0.3086040414480287,4930422G04Rik,0.3362145041945791
50,Aktip,-0.5973379314776053,Rhbg,0.5318200250194283,Serpina3h,0.3482864165146677,Afg3l1,0.30830772368987674,Ctsl,0.3354063089116583
51,Hoxa7,-0.597228808766608,Tusc3,0.5314908667100633,Lbp,0.34792887185847565,Rab32,-0.30728296933976673,Phkg1,0.3352452125924302
52,Mettl7a1,-0.5967871843913573,Pxn,-0.5291573658289508,Dhx37,-0.34740270497600884,BC048403,0.30725230166733014,Prc1,0.3351485946596138
53,Osbpl1a,-0.5965373163174288,Chpt1,0.528665805570462,Cxcl1,0.34724986650377143,Olfr368,0.3066546400279783,Mrpl15,-0.33420735432051824
54,Fyb,0.5964869290777209,C1ra,-0.5280438752727424,Porcn,-0.3467848919301614,Nola2,0.30517417003752534,"A530054K11Rik,AA987161",0.3338201311648277
55,Txnip,-0.5963927843165865,Dbf4,0.5277084563447431,Prosc,-0.3467813685573584,Mpp6,0.30444637603033364,Afap1l1,0.33282197479150954
56,Cdc42se1,0.5963836385627229,Gpi1,0.5242251929251738,9030625A04Rik,0.3460978423544063,Ppp1r14a,-0.30442013204717494,P2ry6,0.33171616108047786
57,Atraid,-0.5955582473372019,Gusb,0.5240588096530501,Cdkn1c,-0.34533048922291554,Acp1,0.3039869363791537,Cmpk2,0.3312353830448627
58,Ganc,-0.5940884374536186,Wwtr1,0.5238394753663224,Anxa1,0.3445307057216875,Chst5,-0.3026461162838982,Il17rb,0.33107900193830786
59,Bcl3,0.5934151420119322,Spc25,0.52291560726475,Lrtm1,0.34344149061481954,L3mbtl,0.3026290944001835,Lrfn1,-0.3303617481383199
60,Sft2d1,0.592642224503351,Scap,-0.5224698942160306,Hint2,-0.3431813043526236,Myl3,0.3016122379017998,Dsel,-0.3298860464924668
